"","rank","name","brewery","type","ABV","num_ratings","avg_rating"
"47","47","Bigfoot","Sierra Nevada Brewing Co.","American Barleywine",9.6,7906,4.14
"48","48","Dale's Pale Ale","Oskar Blues Grill & Brew","American Pale Ale",6.5,7888,3.88
"49","49","Blue Moon Belgian White","Blue Moon Brewing Company","Witbier",5.4,7847,3.42
"50","50","Double Jack","Firestone Walker Brewing Co.","Imperial IPA",9.5,7654,4.33
"51","51","HopDevil","Victory Brewing Company - Downingtown","American IPA",6.7,7626,4.05
"52","52","Bourbon County Brand Coffee Stout","Goose Island Beer Co.","American Imperial Stout",13.2,7578,4.67
"53","53","The Abyss","Deschutes Brewery","American Imperial Stout",11.4,7573,4.47
"54","54","Oberon","Bell's Brewery - Eccentric Café & General Store","American Pale Wheat Beer",5.8,7414,3.83
"55","55","Speedway Stout","AleSmith Brewing Company","American Imperial Stout",12,7288,4.38
"56","56","Traditional Lager","Yuengling Brewery","American Amber / Red Lager",4.5,7259,3.42
"57","57","Parabola","Firestone Walker Brewing Co.","Russian Imperial Stout",13.5,7232,4.6
"58","58","Victory At Sea - Coffee And Vanilla","Ballast Point Brewing Company","Imperial Porter",10,7159,4.39
"59","59","Union Jack IPA","Firestone Walker Brewing Co.","American IPA",7,7148,4.22
"60","60","Milk Stout","Left Hand Brewing Company","Sweet / Milk Stout",6,7142,3.99
"61","61","Oatmeal Stout","Samuel Smith Old Brewery (Tadcaster)","Oatmeal Stout",5,7124,4.21
"62","62","Celebrator","Ayinger Privatbrauerei","Doppelbock",6.7,7060,4.34
"63","63","Black Chocolate Stout","Brooklyn Brewery","Russian Imperial Stout",10,7039,4.15
"64","64","Alpha King","3 Floyds Brewing Co.","American Pale Ale",6.66,7016,4.24
"65","65","Budweiser","Anheuser-Busch","American Adjunct Lager",5,6981,2.38
"66","66","Punkin Ale","Dogfish Head Craft Brewery","Pumpkin Beer",7,6940,3.92
"67","67","Edmund Fitzgerald","Great Lakes Brewing Co.","American Porter",6,6935,4.24
"68","68","DirtWolf","Victory Brewing Company - Downingtown","Imperial IPA",8.7,6880,4.27
"69","69","Three Philosophers","Brewery Ommegang","Quadrupel (Quad)",9.7,6864,4.15
"70","70","Trappist Westvleteren 12 (XII)","Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Quadrupel (Quad)",10.2,6849,4.61
"71","71","Double Bastard Ale","Arrogant Consortia","American Strong Ale",11,6821,4.26
"72","72","CBS (Canadian Breakfast Stout)","Founders Brewing Company","American Imperial Stout",11.7,6783,4.64
"73","73","Burton Baton","Dogfish Head Craft Brewery","Imperial IPA",10,6753,4.23
"74","74","Supplication","Russian River Brewing Company","Wild Ale",7.75,6720,4.55
"75","75","Black Butte Porter","Deschutes Brewery","American Porter",5.5,6684,4.17
"76","76","Double Trouble","Founders Brewing Company","Imperial IPA",9.4,6683,4.2
"77","77","Dragon's Milk Bourbon Barrel-Aged Stout","New Holland Brewing Company","American Imperial Stout",11,6680,4.05
"78","78","Bud Light","Anheuser-Busch","Light Lager",4.2,6662,1.88
"79","79","Bomb!","Prairie Artisan Ales","American Imperial Stout",13,6638,4.49
"80","80","Expedition Stout","Bell's Brewery - Eccentric Café & General Store","Russian Imperial Stout",10.5,6623,4.26
"81","81","Hoptimum","Sierra Nevada Brewing Co.","Imperial IPA",11,6545,4.18
"82","82","Anchor Steam Beer","Anchor Brewing Company","California Common / Steam Beer",4.9,6459,3.85
"83","83","Gumballhead","3 Floyds Brewing Co.","American Pale Wheat Beer",5.6,6419,4.19
"84","84","Sculpin - Grapefruit","Ballast Point Brewing Company","American IPA",7,6413,4.31
"85","85","Pabst Blue Ribbon (PBR)","Pabst Brewing Company","American Adjunct Lager",4.8,6369,2.95
"86","86","Delirium Tremens","Brouwerij Huyghe","Belgian Pale Strong Ale",8.5,6350,4.13
"87","87","Dreadnaught","3 Floyds Brewing Co.","Imperial IPA",9.4,6289,4.4
"88","88","Indian Brown Ale","Dogfish Head Craft Brewery","American Brown Ale",7.2,6281,4.09
"89","89","Golden Monkey","Victory Brewing Company - Downingtown","Tripel",9.5,6222,3.73
"90","90","Blind Pig","Russian River Brewing Company","American IPA",6.25,6211,4.36
